,accuracy,length,loss,epoch
0,0.1015625,8,17.054847717285156,0
1,0.109375,8,12.676239967346191,10
2,0.1484375,8,11.798944473266602,20
3,0.1640625,8,10.045742988586426,30
4,0.109375,8,12.525895118713379,40
5,0.1171875,8,10.4031982421875,50
6,0.1171875,8,11.557559967041016,60
7,0.15625,8,10.306784629821777,70
8,0.109375,8,11.430295944213867,80
9,0.1484375,8,10.363791465759277,90
10,0.140625,8,9.884468078613281,100
11,0.171875,8,12.13244915008545,110
12,0.109375,8,10.70911979675293,120
13,0.1484375,8,10.740667343139648,130
14,0.1171875,8,10.840544700622559,140
15,0.15625,8,10.03412914276123,150
16,0.15625,8,11.0110445022583,160
17,0.15625,8,9.907685279846191,170
18,0.15625,8,10.93476390838623,180
19,0.140625,8,10.020318031311035,190
20,0.2265625,8,8.309033393859863,200
21,0.1640625,8,8.321797370910645,210
22,0.1953125,8,8.35510540008545,220
23,0.2109375,8,8.736958503723145,230
24,0.171875,8,9.167004585266113,240
25,0.2109375,8,8.887320518493652,250
26,0.1484375,8,9.394428253173828,260
27,0.1796875,8,9.445088386535645,270
28,0.1640625,8,8.565052032470703,280
29,0.1953125,8,9.505842208862305,290
30,0.15625,8,9.90421199798584,300
31,0.28125,8,7.567325592041016,310
32,0.2578125,8,6.570561408996582,320
33,0.1796875,8,9.1704683303833,330
34,0.203125,8,8.466729164123535,340
35,0.234375,8,7.368128776550293,350
36,0.1953125,8,9.723151206970215,360
37,0.25,8,7.4929986000061035,370
38,0.2109375,8,7.321440696716309,380
39,0.15625,8,8.228727340698242,390
40,0.296875,8,6.929844856262207,400
41,0.2578125,8,7.794793605804443,410
42,0.21875,8,7.430298805236816,420
43,0.2109375,8,8.594432830810547,430
44,0.234375,8,7.47296667098999,440
45,0.203125,8,8.677252769470215,450
46,0.234375,8,7.908529281616211,460
47,0.2109375,8,6.534379959106445,470
48,0.28125,8,6.839713096618652,480
49,0.234375,8,8.005448341369629,490
50,0.1875,8,7.574245929718018,500
51,0.21875,8,7.867923736572266,510
52,0.2265625,8,7.260666847229004,520
53,0.25,8,6.480266571044922,530
54,0.3046875,8,6.385540008544922,540
55,0.265625,8,7.089236259460449,550
56,0.2578125,8,6.8725080490112305,560
57,0.2421875,8,7.39544677734375,570
58,0.2265625,8,8.183253288269043,580
59,0.2109375,8,6.7207722663879395,590
60,0.2734375,8,6.562167167663574,600
61,0.2109375,8,7.1309428215026855,610
62,0.21875,8,7.248029708862305,620
63,0.21875,8,6.940080642700195,630
64,0.2109375,8,7.255697250366211,640
65,0.1875,8,7.960238456726074,650
66,0.2578125,8,6.610547065734863,660
67,0.2734375,8,6.451982021331787,670
68,0.265625,8,6.282015800476074,680
69,0.25,8,5.884754657745361,690
70,0.359375,8,5.494253635406494,700
71,0.21875,8,7.08908224105835,710
72,0.21875,8,6.391620635986328,720
73,0.1796875,8,6.044927597045898,730
74,0.2265625,8,6.394890785217285,740
75,0.3203125,8,5.7429022789001465,750
76,0.265625,8,5.511727333068848,760
77,0.25,8,6.19429349899292,770
78,0.2578125,8,5.712577819824219,780
79,0.2734375,8,5.518249034881592,790
80,0.3125,8,6.589519500732422,800
81,0.2421875,8,6.486361980438232,810
82,0.171875,8,7.15919828414917,820
83,0.2890625,8,5.608194828033447,830
84,0.1796875,8,6.650598526000977,840
85,0.2421875,8,6.77944278717041,850
86,0.234375,8,6.002316474914551,860
87,0.375,8,4.95845365524292,870
88,0.234375,8,6.288783550262451,880
89,0.3203125,8,4.652409076690674,890
90,0.3046875,8,5.669301986694336,900
91,0.2734375,8,5.768528461456299,910
92,0.2578125,8,5.9570770263671875,920
93,0.234375,8,5.989746570587158,930
94,0.1875,8,6.186487674713135,940
95,0.2578125,8,5.107892990112305,950
96,0.2734375,8,5.863376617431641,960
97,0.25,8,5.596648693084717,970
98,0.3203125,8,4.947969436645508,980
99,0.2734375,8,5.296487808227539,990
100,0.265625,8,5.213421821594238,1000
101,0.2578125,8,5.603973865509033,1010
102,0.3359375,8,5.154590606689453,1020
103,0.3203125,8,4.848568439483643,1030
104,0.28125,8,5.7464399337768555,1040
105,0.2578125,8,5.1466522216796875,1050
106,0.296875,8,4.868473529815674,1060
107,0.3046875,8,5.699402809143066,1070
108,0.34375,8,4.000671863555908,1080
109,0.3046875,8,4.968541622161865,1090
110,0.28125,8,4.468339920043945,1100
111,0.1875,8,5.440596103668213,1110
112,0.28125,8,5.152956485748291,1120
113,0.2578125,8,4.777088642120361,1130
114,0.3046875,8,4.999504089355469,1140
115,0.3125,8,4.357969760894775,1150
116,0.25,8,5.310504913330078,1160
117,0.265625,8,5.212708473205566,1170
118,0.28125,8,5.176815509796143,1180
119,0.1953125,8,5.054017066955566,1190
120,0.25,8,4.90321159362793,1200
121,0.375,8,3.939959764480591,1210
122,0.3046875,8,4.681737422943115,1220
123,0.3125,8,4.533822536468506,1230
124,0.265625,8,5.002401351928711,1240
125,0.2421875,8,5.269235134124756,1250
126,0.328125,8,4.403086185455322,1260
127,0.2421875,8,5.669622421264648,1270
128,0.328125,8,4.749866485595703,1280
129,0.296875,8,4.839159965515137,1290
130,0.28125,8,4.018612384796143,1300
131,0.328125,8,4.309992790222168,1310
132,0.28125,8,4.500489711761475,1320
133,0.3203125,8,4.753016471862793,1330
134,0.3515625,8,4.0223236083984375,1340
135,0.3515625,8,3.7144625186920166,1350
136,0.3515625,8,4.2262187004089355,1360
137,0.2421875,8,4.759001731872559,1370
138,0.3671875,8,3.41386079788208,1380
139,0.328125,8,3.7901995182037354,1390
140,0.3359375,8,4.363241195678711,1400
141,0.2890625,8,4.087861061096191,1410
142,0.296875,8,3.759742259979248,1420
143,0.296875,8,4.466418743133545,1430
144,0.3125,8,4.444271564483643,1440
145,0.3671875,8,3.692342758178711,1450
146,0.40625,8,3.9349095821380615,1460
147,0.34375,8,4.0789570808410645,1470
148,0.3671875,8,4.129775524139404,1480
149,0.328125,8,4.114452362060547,1490
150,0.3046875,8,3.959866523742676,1500
151,0.453125,8,3.445829391479492,1510
152,0.359375,8,3.2904646396636963,1520
153,0.3125,8,3.702735424041748,1530
154,0.40625,8,3.3710477352142334,1540
155,0.3046875,8,3.539370536804199,1550
156,0.359375,8,3.8817832469940186,1560
157,0.4453125,8,2.9193007946014404,1570
158,0.34375,8,3.606199026107788,1580
159,0.3671875,8,3.430501699447632,1590
160,0.3359375,8,2.8988940715789795,1600
161,0.3671875,8,3.2928695678710938,1610
162,0.265625,8,3.7866086959838867,1620
163,0.3203125,8,3.925751209259033,1630
164,0.4140625,8,3.113341808319092,1640
165,0.3984375,8,3.166844606399536,1650
166,0.296875,8,3.2888412475585938,1660
167,0.4375,8,2.701610803604126,1670
168,0.3515625,8,2.9784622192382812,1680
169,0.375,8,3.2102720737457275,1690
170,0.3203125,8,3.4196388721466064,1700
171,0.3984375,8,3.3796777725219727,1710
172,0.34375,8,3.2316036224365234,1720
173,0.3359375,8,3.587634325027466,1730
174,0.4140625,8,3.172710418701172,1740
175,0.375,8,3.4512991905212402,1750
176,0.3828125,8,3.2669804096221924,1760
177,0.3046875,8,2.911517381668091,1770
178,0.40625,8,2.9165701866149902,1780
179,0.4296875,8,3.1026687622070312,1790
180,0.4296875,8,2.6470654010772705,1800
181,0.4375,8,2.541616916656494,1810
182,0.375,8,2.9605116844177246,1820
183,0.4609375,8,3.2769126892089844,1830
184,0.3515625,8,2.8599181175231934,1840
185,0.375,8,2.94677472114563,1850
186,0.34375,8,3.4180407524108887,1860
187,0.28125,8,3.3639233112335205,1870
188,0.296875,8,3.7637124061584473,1880
189,0.3046875,8,3.6889424324035645,1890
190,0.359375,8,3.2271862030029297,1900
